id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
419,dish,tahu telur,328.0,12.6,19.9,24.6,tkpi
420,komponen,abon haruwan,513.0,23.7,37.0,21.3,tkpi
421,komponen,abon ikan,435.0,27.2,20.2,36.1,tkpi
422,dish,amparan tatak,191.0,1.3,5.5,34.0,tkpi
423,dish,anyang sayur,126.0,3.4,7.9,10.3,tkpi
424,dish,apang kukus kue,202.0,3.0,0.3,46.7,tkpi
425,dish,apem kue,148.0,2.0,0.5,33.9,tkpi
426,dish,ares sayur,113.0,0.9,7.2,11.2,tkpi
427,dish,arwan sirsir,277.0,2.4,25.0,10.7,tkpi
428,dish,ayam taliwang masakan,264.0,18.2,20.1,2.7,tkpi
429,dish,babi hutan masak rica masakan,491.0,24.6,16.3,0.2,tkpi
430,dish,bagea kelapa asin,450.0,3.2,13.9,78.1,tkpi
431,dish,bagea kelapa manis,452.0,1.3,13.8,80.6,tkpi
432,dish,bagea kenari asin,529.0,3.2,29.1,63.6,tkpi
433,dish,bagea kenari manis,523.0,3.2,28.2,64.2,tkpi
434,komponen,bakung segar,27.0,2.0,0.2,4.2,tkpi
435,komponen,balichong,152.0,13.2,0.8,22.9,tkpi
436,dish,bantal,190.0,3.3,0.3,43.5,tkpi
437,dish,barongko,159.0,3.1,5.8,23.5,tkpi
438,dish,baruasa,417.0,6.5,8.2,79.3,tkpi
439,dish,batar daan,107.0,2.2,2.2,19.6,tkpi
440,komponen,batatas gembili segar,76.0,1.1,0.9,16.0,tkpi
441,dish,batatas kelapa ubi bakar,110.0,1.4,1.1,23.4,tkpi
442,dish,batatas kelapa ubi kukus,92.0,1.2,0.3,21.0,tkpi
443,komponen,batatas kelapa ubi segar,89.0,1.1,0.1,21.0,tkpi
444,dish,batatas tali ubi rebus,182.0,2.4,0.4,42.2,tkpi
445,komponen,bayam merah segar,41.0,2.2,0.8,6.3,tkpi
446,komponen,bebek alabio daging segar,303.0,11.3,27.0,3.7,tkpi
447,dish,bebek daging goreng,300.0,24.0,20.7,4.5,tkpi
448,dish,beberuk,65.0,1.1,5.2,3.5,tkpi
449,komponen,bekasam,116.0,11.9,4.9,6.1,tkpi
450,komponen,bekasang,78.0,11.4,2.0,3.6,tkpi
451,komponen,belibis daging segar,131.0,20.2,4.3,2.8,tkpi
452,komponen,belut segar,70.0,14.6,0.8,1.0,tkpi
453,komponen,beras giling mentah,357.0,8.4,1.7,77.1,tkpi
454,komponen,beras hitam mentah,351.0,8.0,1.3,76.9,tkpi
455,komponen,beras jagung kuning kering mentah,358.0,5.5,0.1,82.7,tkpi
456,komponen,beras jagung putih kering mentah,307.0,4.8,0.1,71.8,tkpi
457,komponen,beras ladang mentah,376.0,7.5,3.8,78.0,tkpi
458,komponen,beras tumbuk mentah,354.0,7.8,0.4,79.9,tkpi
459,dish,betok wadi masakan,145.0,16.3,7.0,4.1,tkpi
460,dish,biji nangkabiji salak,262.0,2.3,5.4,51.1,tkpi
461,dish,bingka,273.0,5.3,10.6,39.1,tkpi
462,dish,bobengka,225.0,5.3,2.6,45.2,tkpi
463,dish,bolu peca,197.0,3.3,4.6,35.6,tkpi
464,dish,bou ninahu ndamate masakan,79.0,6.3,1.0,1.1,tkpi
465,dish,bouiki ninahu nggaluku masakan,94.0,7.8,2.2,10.8,tkpi
466,komponen,buah kelenting segar,110.0,1.4,2.1,21.4,tkpi
467,komponen,buah kelor,38.0,1.5,0.2,7.5,tkpi
468,komponen,buah merah,87.0,2.6,2.7,13.1,tkpi
469,komponen,buah negri segar,55.0,1.2,0.1,12.2,tkpi
470,komponen,buah rotan segar,78.0,0.6,0.3,18.2,tkpi
471,komponen,buah rukam segar,113.0,0.8,0.3,26.8,tkpi
472,komponen,buah ruruhi segar,29.0,2.1,0.7,3.6,tkpi
473,komponen,buah tuppa segar,67.0,0.4,0.2,15.9,tkpi
474,komponen,buaya daging dendeng mentah,365.0,49.6,4.8,30.8,tkpi
475,dish,bubur sagu,167.0,0.2,4.0,33.0,tkpi
476,dish,bubur tinotuan manado,156.0,2.3,0.2,15.6,tkpi
477,dish,cakalang asar asap papua,155.0,20.1,3.8,10.2,tkpi
478,dish,cake tape,323.0,4.9,11.5,50.1,tkpi
479,dish,cammetutu,102.0,3.2,6.0,8.7,tkpi
480,dish,cangkuning,204.0,2.8,7.5,31.4,tkpi
481,dish,coto mangkasara kuda masakan,96.0,6.8,5.9,3.8,tkpi
482,dish,coto mangkasara sapi masakan,84.0,6.0,6.0,1.4,tkpi
483,komponen,daun bawang merah segar,41.0,2.0,0.3,7.8,tkpi
484,komponen,daun gedi besar segar,58.0,2.9,0.7,10.0,tkpi
485,komponen,daun gedi kecil segar,61.0,3.2,0.7,10.4,tkpi
486,komponen,daun jawaw seluang segar,93.0,5.0,1.3,15.3,tkpi
487,komponen,daun kasbisingkong karet segar,92.0,4.0,3.6,10.9,tkpi
488,komponen,daun kelor segar,92.0,5.1,1.6,14.3,tkpi
489,komponen,daun kubis segar,51.0,2.5,1.1,8.0,tkpi
490,komponen,daun leilem segar,76.0,2.8,0.2,15.8,tkpi
491,komponen,daun ndusuk segar,166.0,1.7,0.5,38.8,tkpi
492,komponen,daun pakis longgiho segar,54.0,2.2,3.6,3.1,tkpi
493,komponen,daun pakis wambateu segar,53.0,3.4,1.2,7.2,tkpi
494,komponen,daun paku segar,29.0,3.4,0.1,6.5,tkpi
495,komponen,daun pangisegar,104.0,3.9,0.6,17.9,tkpi
496,komponen,daun pare segar,49.0,2.7,1.0,8.4,tkpi
497,komponen,daun selasih segar,62.0,4.0,0.5,10.5,tkpi
498,komponen,daun singkong ampenan segar,50.0,6.2,1.1,7.1,tkpi
499,komponen,daun singkong kopang segar,74.0,6.3,0.7,10.7,tkpi
500,komponen,daun ubi kuning segar,62.0,3.7,0.3,11.1,tkpi
501,komponen,daun ubi putih segar,46.0,2.8,0.2,8.2,tkpi
502,komponen,daun ubi tinta segar,55.0,1.7,0.1,11.9,tkpi
503,dish,dodol banjarmasin,368.0,2.6,8.6,70.0,tkpi
504,dish,dodol galamai,348.0,0.4,3.8,76.1,tkpi
505,dish,dodol manado,373.0,4.3,16.5,51.9,tkpi
506,dish,dodol nanas,338.0,1.5,1.2,80.3,tkpi
507,dish,emping beras,403.0,10.6,2.2,85.3,tkpi
508,dish,emping komak,355.0,17.8,4.6,60.7,tkpi
509,komponen,gadenggadung kering,322.0,2.4,0.6,76.6,tkpi
510,dish,geplak,350.0,1.4,14.4,53.6,tkpi
511,dish,geplak jahe,462.0,3.1,24.4,57.7,tkpi
512,dish,gete kuah asam masakan,75.0,8.2,2.0,6.0,tkpi
513,komponen,gulai asam keueung masakan,52.0,10.0,0.5,1.8,tkpi
514,komponen,gulai ikan paya masakan,148.0,10.0,9.8,5.0,tkpi
515,komponen,gulai kambing,126.0,4.2,9.4,6.2,tkpi
