id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score
45,komponen,daun pakis segar,39.0,4.5,0.4,6.9,tkpi,0.1153846124260356,0.010256409993425386,0.17692307238658792,11.249971875070312,0.772568167142708
46,komponen,daun pohpohan segar,37.0,2.5,0.8,6.9,tkpi,0.06756756574141715,0.02162162103725349,0.18648648144631133,3.1249960937548824,0.7480055209325882
47,komponen,daun semanggi segar,45.0,4.4,0.5,8.5,tkpi,0.09777777560493833,0.011111110864197537,0.18888888469135812,8.7999824000352,0.7562442900819135
48,komponen,daun simpur segar,53.0,3.2,2.5,7.6,tkpi,0.06037735735137062,0.0471698104307583,0.14339622370950522,1.2799994880002048,0.8302756596156691
49,komponen,daun singkil segar,68.0,2.0,1.0,15.2,tkpi,0.02941176427335641,0.014705882136678205,0.22352940847750868,1.9999980000020001,0.6444432704067472
50,dish,daun singkong rebus,31.0,3.7,0.6,4.8,tkpi,0.11935483485952146,0.019354838085327803,0.15483870468262242,6.166656388906019,0.8045863931377415
51,komponen,daun singkong segar,50.0,6.2,1.1,7.1,tkpi,0.12399999752000006,0.02199999956000001,0.14199999716000006,5.636358512401353,0.8165299331441263
52,komponen,daun sintrong segar,36.0,2.6,0.9,6.1,tkpi,0.07222222021604945,0.024999999305555576,0.16944443973765447,2.888885679015912,0.7744925988732012
53,dish,daun talas rebus,27.0,1.3,0.2,5.9,tkpi,0.048148146364883466,0.007407407133058995,0.21851851042524037,6.499967500162499,0.6663624470785369
54,komponen,daun talas segar,59.0,3.0,0.4,13.5,tkpi,0.050847456765297346,0.006779660902039647,0.22881355544383805,7.499981250046875,0.6649147957974738
55,dish,daun ubi merah kukus,56.0,3.1,0.3,13.0,tkpi,0.05535714186862247,0.005357142761479593,0.23214285299744905,10.333298889003705,0.667796381963801
56,komponen,daun ubi merah segar,48.0,3.0,0.3,10.8,tkpi,0.0624999986979167,0.006249999869791669,0.22499999531250012,9.999966666777778,0.6842577405737296
57,dish,gadogado,137.0,6.1,3.2,21.0,tkpi,0.04452554712025148,0.023357664063082744,0.1532846704139805,1.9062494042970608,0.7426447869600876
58,dish,gudeg sayur,160.0,3.3,9.2,16.0,tkpi,0.02062499987109375,0.057499999640625,0.09999999937500001,0.3586956131852595,0.8179266273176945
59,komponen,gulai pakis,143.0,4.0,11.4,6.0,tkpi,0.027972027776419387,0.07972027916279525,0.04195804166462908,0.3508771622037577,0.8539475617478998
60,komponen,kacang babi kering,341.0,30.4,3.2,51.3,tkpi,0.0891495598558664,0.009384164195354358,0.15043988225677454,9.499997031250926,0.7680470260819227
61,komponen,kacang belimbing kecipir kering,400.0,34.4,16.9,34.1,tkpi,0.085999999785,0.042249999894374994,0.085249999786875,2.0355028381359266,0.9042179697705979
62,dish,kacang belimbing kecipir rebus,204.0,16.9,8.8,17.5,tkpi,0.08284313684880815,0.043137254690503654,0.08578431330497886,1.920454327221099,0.9081628035885307
63,dish,kacang bogor goreng,479.0,12.7,23.2,58.9,tkpi,0.0265135698820176,0.04843423789470931,0.12296450913786115,0.5474137695080271,0.7914111218506777
64,dish,kacang bogor rebus,161.0,7.7,2.8,27.1,tkpi,0.047826086659465306,0.017391304239805564,0.16832298032097529,2.7499990178574936,0.7209403477342885
65,komponen,kacang bogor segar,165.0,7.7,3.1,27.4,tkpi,0.04666666638383839,0.018787878674012857,0.16606060505417813,2.4838701664934946,0.7240954155891941
66,komponen,kacang gude biji kering,316.0,20.7,1.0,58.0,tkpi,0.06550632890662554,0.0031645569520108957,0.18354430321663195,20.6999793000207,0.7034250478129536
67,dish,kacang gude rebus,147.0,9.0,0.5,27.5,tkpi,0.06122448937942524,0.00340136052107918,0.1870748286593549,17.999964000071998,0.6953542627223259
68,komponen,kacang hijau var bakti kering,350.0,17.1,1.8,70.7,tkpi,0.048857142717551025,0.005142857128163265,0.20199999942285715,9.499994722225155,0.6702966404632427
69,komponen,kacang hijau var siwalik kering,339.0,20.8,2.1,64.6,tkpi,0.061356931972398436,0.006194690247213304,0.19056047141427587,9.904757188210862,0.7006581974744773
70,komponen,kacang hijau kering,323.0,22.9,1.5,56.8,tkpi,0.07089783259783952,0.00464396283391962,0.17585139264442293,15.266656488895674,0.7196112127066799
71,dish,kacang hijau rebus,109.0,8.7,0.5,18.3,tkpi,0.0798165130292063,0.004587155921218753,0.16788990671660636,17.399965200069598,0.7354797123984613
72,dish,kacang kedelai goreng,521.0,32.2,37.7,22.9,tkpi,0.06180422253012626,0.07236084439086211,0.043953934656518354,0.8541113831800695,0.9341799540042568
73,komponen,kacang kedelai kering,381.0,40.4,16.7,24.9,tkpi,0.10603674512851248,0.04383202088233065,0.06535433053712773,2.4191615317867345,0.8801550454114713
74,dish,kacang kedelai rebus,189.0,20.2,8.2,12.7,tkpi,0.1068783063128132,0.043386243156686544,0.06719576684023404,2.4634143337299594,0.8795681881190794
75,komponen,kacang mekah polong segar,22.0,1.1,1.0,3.4,tkpi,0.04999999772727283,0.045454543388429844,0.15454544752066146,1.0999989000011001,0.7984449800204134
76,dish,kacang panjang kukus,39.0,3.0,0.6,7.6,tkpi,0.0769230749506904,0.015384614990138077,0.1948717898750823,4.999991666680556,0.7406783224905717
77,dish,kacang panjang rebus,30.0,2.3,0.4,5.8,tkpi,0.07666666411111119,0.013333332888888903,0.1933333268888891,5.749985625035937,0.7368747263181764
